model,epoch_loss,test_f1_loss,epoch_f1,test_f1_f1,epoch_best,test_best_f1
csebert_finetune_small_24h_vocab_avg,1.0,76.44987207772702,1.0,76.44987207772702,2.0,78.03030303030303
csebert_finetune_small_24h_vocab_avg/checkpoint-1000_small,1.0,75.82485353068147,1.0,75.82485353068147,2.0,78.28811733935072
csebert_finetune_small_24h_vocab_avg/checkpoint-1000_small25,1.0,71.4835022083658,9.0,71.32149992198032,3.0,72.50427274433675
csebert_finetune_small_24h_vocab_avg/checkpoint-1000_small50,1.0,74.60643779696179,2.0,74.3214347530856,3.0,75.37375232013291
csebert_finetune_small_24h_vocab_avg/checkpoint-1000_small75,1.0,76.1878431525252,8.0,75.56797020484171,2.0,77.55431409062695
csebert_finetune_small_24h_vocab_avg/checkpoint-1500_small,1.0,77.46694769112857,1.0,77.46694769112857,2.0,77.93456846436786
csebert_finetune_small_24h_vocab_avg/checkpoint-1500_small25,2.0,75.02616609783846,9.0,74.97257765264706,6.0,75.49026751694164
csebert_finetune_small_24h_vocab_avg/checkpoint-1500_small50,1.0,76.71048518961479,1.0,76.71048518961479,3.0,77.14084230083334
csebert_finetune_small_24h_vocab_avg/checkpoint-1500_small75,1.0,76.48308418568057,1.0,76.48308418568057,5.0,77.6201923076923
csebert_finetune_small_24h_vocab_avg/checkpoint-500_small,1.0,77.83216523899583,1.0,77.83216523899583,1.0,77.83216523899583
csebert_finetune_small_24h_vocab_avg/checkpoint-500_small25,1.0,65.7122791336132,3.0,77.46875811176623,3.0,77.46875811176623
csebert_finetune_small_24h_vocab_avg/checkpoint-500_small50,1.0,73.59334651823576,5.0,75.23800929477056,3.0,75.74107308620583
csebert_finetune_small_24h_vocab_avg/checkpoint-500_small75,2.0,76.30911997504582,2.0,76.30911997504582,2.0,76.30911997504582
csebert_finetune_small_24h_vocab_avg_small,2.0,76.40991209419722,7.0,76.06527828998625,8.0,76.9776950086715
csebert_finetune_small_24h_vocab_avg_small25,1.0,72.45440856617033,7.0,75.1816805019415,10.0,76.48308418568057
csebert_finetune_small_24h_vocab_avg_small50,1.0,75.92438374417054,2.0,75.45604066985646,1.0,75.92438374417054
csebert_finetune_small_24h_vocab_avg_small75,1.0,74.90451388888889,2.0,77.00366247137434,8.0,78.31500693912015
csebert_finetune_small_24h_vocab_max,1.0,76.16161616161617,1.0,76.16161616161617,9.0,77.23069094714508
csebert_finetune_small_24h_vocab_max/checkpoint-1000_small,1.0,78.33062535033723,1.0,78.33062535033723,1.0,78.33062535033723
csebert_finetune_small_24h_vocab_max/checkpoint-1000_small25,1.0,72.6301779343901,4.0,74.32930137402099,8.0,76.14946065510955
csebert_finetune_small_24h_vocab_max/checkpoint-1000_small50,1.0,75.87568593261193,1.0,75.87568593261193,7.0,75.96474420387047
csebert_finetune_small_24h_vocab_max/checkpoint-1000_small75,1.0,76.96453713998275,1.0,76.96453713998275,1.0,76.96453713998275
csebert_finetune_small_24h_vocab_max/checkpoint-1500_small,1.0,76.7279721120327,1.0,76.7279721120327,2.0,77.69559032716927
csebert_finetune_small_24h_vocab_max/checkpoint-1500_small25,1.0,71.22624734342949,4.0,73.497108449589,3.0,75.14136236326165
csebert_finetune_small_24h_vocab_max/checkpoint-1500_small50,2.0,77.41317742189298,2.0,77.41317742189298,2.0,77.41317742189298
csebert_finetune_small_24h_vocab_max/checkpoint-1500_small75,1.0,78.94855850763143,1.0,78.94855850763143,1.0,78.94855850763143
csebert_finetune_small_24h_vocab_max/checkpoint-500_small,1.0,75.90041510925356,1.0,75.90041510925356,2.0,76.93304640673061
csebert_finetune_small_24h_vocab_max/checkpoint-500_small25,1.0,73.33532422500394,6.0,74.38456529966082,10.0,75.58919333205594
csebert_finetune_small_24h_vocab_max/checkpoint-500_small50,1.0,74.63604011646716,8.0,74.44059156515812,10.0,75.87568593261193
csebert_finetune_small_24h_vocab_max/checkpoint-500_small75,1.0,77.08444191292747,1.0,77.08444191292747,1.0,77.08444191292747
csebert_finetune_small_24h_vocab_max_small,2.0,78.93215408497372,8.0,75.35632183908045,2.0,78.93215408497372
csebert_finetune_small_24h_vocab_max_small25,1.0,75.35293025558512,2.0,74.66882067851373,4.0,75.40352030840974
csebert_finetune_small_24h_vocab_max_small50,2.0,74.86495021055954,4.0,75.55450069341674,7.0,75.9092850879494
csebert_finetune_small_24h_vocab_max_small75,2.0,78.3595061359991,2.0,78.3595061359991,2.0,78.3595061359991
csebert_finetune_small_24h_vocab_random,2.0,76.91138470892233,5.0,74.89211600093083,2.0,76.91138470892233
csebert_finetune_small_24h_vocab_random/checkpoint-1000_small,1.0,76.18055555555556,4.0,78.10850808365677,2.0,78.31010369861575
csebert_finetune_small_24h_vocab_random/checkpoint-1000_small25,2.0,73.43580193308253,2.0,73.43580193308253,3.0,75.07780792347101
csebert_finetune_small_24h_vocab_random/checkpoint-1000_small50,1.0,73.62185128645751,1.0,73.62185128645751,2.0,76.20404366769472
csebert_finetune_small_24h_vocab_random/checkpoint-1000_small75,2.0,76.58784941498998,2.0,76.58784941498998,2.0,76.58784941498998
csebert_finetune_small_24h_vocab_random/checkpoint-1500_small,1.0,75.82485353068147,2.0,78.00588668138337,9.0,78.30440251572327
csebert_finetune_small_24h_vocab_random/checkpoint-1500_small25,1.0,73.20610214554624,7.0,74.60643779696179,5.0,76.72654088050315
csebert_finetune_small_24h_vocab_random/checkpoint-1500_small50,2.0,74.44374342797056,5.0,74.78067610246812,3.0,75.9092850879494
csebert_finetune_small_24h_vocab_random/checkpoint-1500_small75,1.0,77.14856762158561,1.0,77.14856762158561,1.0,77.14856762158561
csebert_finetune_small_24h_vocab_random/checkpoint-500_small,2.0,75.17070142768466,2.0,75.17070142768466,3.0,76.21962652901404
csebert_finetune_small_24h_vocab_random/checkpoint-500_small25,2.0,74.46031805239535,2.0,74.46031805239535,3.0,75.74107308620583
csebert_finetune_small_24h_vocab_random/checkpoint-500_small50,1.0,69.46272126943036,6.0,74.08698984479786,3.0,74.33548593056318
csebert_finetune_small_24h_vocab_random/checkpoint-500_small75,2.0,75.12527303096492,2.0,75.12527303096492,6.0,77.37123868373696
csebert_finetune_small_24h_vocab_random_small,1.0,75.6237522228162,2.0,77.46694769112857,2.0,77.46694769112857
csebert_finetune_small_24h_vocab_random_small25,2.0,71.83645183645184,8.0,73.65067916816925,4.0,75.04939960480316
csebert_finetune_small_24h_vocab_random_small50,1.0,74.0578537445326,6.0,73.48484848484848,3.0,75.90041510925356
csebert_finetune_small_24h_vocab_random_small75,1.0,71.41378499176665,6.0,73.71143897298333,3.0,76.8349358974359
csebert_finetune_small_24h_vocab_sum,1.0,75.82813582813583,4.0,76.65833035607956,6.0,76.71048518961479
csebert_finetune_small_24h_vocab_sum/checkpoint-1000_small,1.0,77.81266352694925,1.0,77.81266352694925,1.0,77.81266352694925
csebert_finetune_small_24h_vocab_sum/checkpoint-1000_small25,2.0,74.76844528326588,4.0,74.4200024041351,9.0,74.87179487179488
csebert_finetune_small_24h_vocab_sum/checkpoint-1000_small50,1.0,76.44823383734646,1.0,76.44823383734646,3.0,76.71584594749952
csebert_finetune_small_24h_vocab_sum/checkpoint-1000_small75,1.0,72.79698894377793,2.0,76.51735874744725,7.0,76.72654088050315
csebert_finetune_small_24h_vocab_sum/checkpoint-1500_small,1.0,73.17718849553552,4.0,76.22032595947749,9.0,78.15832603386784
csebert_finetune_small_24h_vocab_sum/checkpoint-1500_small25,1.0,76.16023448949683,4.0,72.97971211606028,1.0,76.16023448949683
csebert_finetune_small_24h_vocab_sum/checkpoint-1500_small50,1.0,76.878707863242,1.0,76.878707863242,1.0,76.878707863242
csebert_finetune_small_24h_vocab_sum/checkpoint-1500_small75,1.0,76.88673215147601,1.0,76.88673215147601,8.0,77.24185177014272
csebert_finetune_small_24h_vocab_sum/checkpoint-500_small,1.0,75.32986111111111,1.0,75.32986111111111,4.0,78.39294463498284
csebert_finetune_small_24h_vocab_sum/checkpoint-500_small25,1.0,70.84960029745307,7.0,74.9313810506821,10.0,75.05186920051423
csebert_finetune_small_24h_vocab_sum/checkpoint-500_small50,2.0,75.05186920051423,1.0,74.0388410726727,9.0,76.26557429779666
csebert_finetune_small_24h_vocab_sum/checkpoint-500_small75,1.0,75.25039460467787,1.0,75.25039460467787,6.0,76.72654088050315
csebert_finetune_small_24h_vocab_sum_small,1.0,78.74942494435948,2.0,74.26654131682173,1.0,78.74942494435948
csebert_finetune_small_24h_vocab_sum_small25,1.0,74.45992609759958,1.0,74.45992609759958,2.0,75.78533028343183
csebert_finetune_small_24h_vocab_sum_small50,1.0,75.59153175591531,9.0,74.10172808125739,1.0,75.59153175591531
csebert_finetune_small_24h_vocab_sum_small75,1.0,75.19609875304103,9.0,76.7279721120327,9.0,76.7279721120327
csebert_finetune_small_gen_vocab_avg,1.0,76.1878431525252,1.0,76.1878431525252,2.0,76.93304640673061
csebert_finetune_small_gen_vocab_avg/checkpoint-1000_small,1.0,74.03154574132493,1.0,74.03154574132493,2.0,76.39229136044423
csebert_finetune_small_gen_vocab_avg/checkpoint-1000_small25,2.0,72.73905484431799,2.0,72.73905484431799,2.0,72.73905484431799
csebert_finetune_small_gen_vocab_avg/checkpoint-1000_small50,2.0,72.31384391223226,1.0,74.78067610246812,8.0,75.85020938609779
csebert_finetune_small_gen_vocab_avg/checkpoint-1000_small75,1.0,72.81506849315069,8.0,75.78079773632906,3.0,76.22032595947749
csebert_finetune_small_gen_vocab_avg/checkpoint-1500_small,1.0,75.67662090050655,3.0,77.46694769112857,3.0,77.46694769112857
csebert_finetune_small_gen_vocab_avg/checkpoint-1500_small25,2.0,73.76754500582493,7.0,73.96467842504325,6.0,74.25287356321839
csebert_finetune_small_gen_vocab_avg/checkpoint-1500_small50,2.0,76.23697964796074,2.0,76.23697964796074,2.0,76.23697964796074
csebert_finetune_small_gen_vocab_avg/checkpoint-1500_small75,1.0,75.15302309300587,1.0,75.15302309300587,6.0,77.19540229885058
csebert_finetune_small_gen_vocab_avg/checkpoint-500_small,1.0,71.2361678205811,3.0,77.53870167847228,3.0,77.53870167847228
csebert_finetune_small_gen_vocab_avg/checkpoint-500_small25,2.0,72.06450753032121,4.0,71.34875654247577,9.0,73.04225825801709
csebert_finetune_small_gen_vocab_avg/checkpoint-500_small50,2.0,74.35320152018087,2.0,74.35320152018087,9.0,76.04967948717949
csebert_finetune_small_gen_vocab_avg/checkpoint-500_small75,1.0,76.86948233211538,1.0,76.86948233211538,1.0,76.86948233211538
csebert_finetune_small_gen_vocab_avg_small,1.0,77.5566289140573,2.0,78.25959873790555,2.0,78.25959873790555
csebert_finetune_small_gen_vocab_avg_small25,1.0,67.42913000977518,3.0,73.43434016424402,8.0,74.66882067851373
csebert_finetune_small_gen_vocab_avg_small50,1.0,76.81424878127892,1.0,76.81424878127892,1.0,76.81424878127892
csebert_finetune_small_gen_vocab_avg_small75,2.0,77.05454355702672,2.0,77.05454355702672,2.0,77.05454355702672
csebert_finetune_small_gen_vocab_max,1.0,73.30059439488767,2.0,76.0776256636628,9.0,76.44823383734646
csebert_finetune_small_gen_vocab_max/checkpoint-1000_small,2.0,76.10163429989608,2.0,76.10163429989608,2.0,76.10163429989608
csebert_finetune_small_gen_vocab_max/checkpoint-1000_small25,2.0,72.6301779343901,6.0,72.70064775860261,8.0,73.68048043567458
csebert_finetune_small_gen_vocab_max/checkpoint-1000_small50,1.0,69.18826219512195,10.0,73.04225825801709,2.0,74.73897239937689
csebert_finetune_small_gen_vocab_max/checkpoint-1000_small75,1.0,72.04680686906002,2.0,75.74107308620583,2.0,75.74107308620583
csebert_finetune_small_gen_vocab_max/checkpoint-1500_small,1.0,74.76844528326588,3.0,72.56169662881793,1.0,74.76844528326588
csebert_finetune_small_gen_vocab_max/checkpoint-1500_small25,2.0,71.91232172402948,2.0,71.91232172402948,5.0,73.39618989057037
csebert_finetune_small_gen_vocab_max/checkpoint-1500_small50,1.0,73.7563543936093,2.0,73.42452369320958,6.0,74.81049562682216
csebert_finetune_small_gen_vocab_max/checkpoint-1500_small75,1.0,74.66947022924252,1.0,74.66947022924252,4.0,76.4740888677071
csebert_finetune_small_gen_vocab_max/checkpoint-500_small,1.0,74.47916666666667,2.0,76.23810389767837,2.0,76.23810389767837
csebert_finetune_small_gen_vocab_max/checkpoint-500_small25,2.0,70.67205966589903,4.0,72.9279206834243,4.0,72.9279206834243
csebert_finetune_small_gen_vocab_max/checkpoint-500_small50,2.0,76.10163429989608,2.0,76.10163429989608,2.0,76.10163429989608
csebert_finetune_small_gen_vocab_max/checkpoint-500_small75,1.0,75.45103929330601,3.0,72.36184492360417,1.0,75.45103929330601
csebert_finetune_small_gen_vocab_max_small,2.0,74.348980189879,2.0,74.348980189879,7.0,76.50473186119872
csebert_finetune_small_gen_vocab_max_small25,1.0,73.32095901005414,2.0,76.4423076923077,2.0,76.4423076923077
csebert_finetune_small_gen_vocab_max_small50,1.0,72.74984637030735,2.0,75.35293025558512,2.0,75.35293025558512
csebert_finetune_small_gen_vocab_max_small75,1.0,75.46165884194053,2.0,77.88195696598149,7.0,78.68406742794998
csebert_finetune_small_gen_vocab_random,1.0,74.05777439528805,6.0,76.03043122755874,2.0,76.74050632911391
csebert_finetune_small_gen_vocab_random/checkpoint-1000_small,1.0,75.06961208028824,2.0,77.98005602678735,2.0,77.98005602678735
csebert_finetune_small_gen_vocab_random/checkpoint-1000_small25,1.0,65.9505400273263,5.0,72.52479363154758,5.0,72.52479363154758
csebert_finetune_small_gen_vocab_random/checkpoint-1000_small50,1.0,69.93252555759297,10.0,76.23899552604993,9.0,76.41281456535876
csebert_finetune_small_gen_vocab_random/checkpoint-1000_small75,2.0,74.61550914683504,2.0,74.61550914683504,6.0,75.56797020484171
csebert_finetune_small_gen_vocab_random/checkpoint-1500_small,2.0,76.09253417455311,9.0,75.51853111186672,3.0,76.4194033504704
csebert_finetune_small_gen_vocab_random/checkpoint-1500_small25,1.0,73.42452369320958,4.0,71.20865778803709,1.0,73.42452369320958
csebert_finetune_small_gen_vocab_random/checkpoint-1500_small50,2.0,74.3916380859056,2.0,74.3916380859056,2.0,74.3916380859056
csebert_finetune_small_gen_vocab_random/checkpoint-1500_small75,1.0,76.4423076923077,1.0,76.4423076923077,1.0,76.4423076923077
csebert_finetune_small_gen_vocab_random/checkpoint-500_small,1.0,76.38429424509856,2.0,77.37123868373696,2.0,77.37123868373696
csebert_finetune_small_gen_vocab_random/checkpoint-500_small25,1.0,72.52443440675987,9.0,71.71902046942901,1.0,72.52443440675987
csebert_finetune_small_gen_vocab_random/checkpoint-500_small50,2.0,67.74989716166186,3.0,72.20252446461495,4.0,73.61707278691699
csebert_finetune_small_gen_vocab_random/checkpoint-500_small75,1.0,68.93665494527264,8.0,75.85058907313082,8.0,75.85058907313082
csebert_finetune_small_gen_vocab_random_small,1.0,76.33207547169812,8.0,75.68033648790747,4.0,76.48308418568057
csebert_finetune_small_gen_vocab_random_small25,1.0,72.65684864376361,4.0,71.58478373188768,8.0,73.55897143799324
csebert_finetune_small_gen_vocab_random_small50,2.0,75.0570695400764,2.0,75.0570695400764,10.0,75.07780792347101
csebert_finetune_small_gen_vocab_random_small75,1.0,76.89393939393939,1.0,76.89393939393939,1.0,76.89393939393939
csebert_finetune_small_gen_vocab_sum,1.0,72.83531409168081,2.0,75.99397022800075,7.0,76.55105031753786
csebert_finetune_small_gen_vocab_sum/checkpoint-1000_small,2.0,77.76478235880239,2.0,77.76478235880239,2.0,77.76478235880239
csebert_finetune_small_gen_vocab_sum/checkpoint-1000_small25,1.0,68.70533047798027,3.0,72.4899579851332,8.0,73.8918154953103
csebert_finetune_small_gen_vocab_sum/checkpoint-1000_small50,1.0,70.91358068661758,8.0,74.3985651343237,2.0,75.82023792039946
csebert_finetune_small_gen_vocab_sum/checkpoint-1000_small75,2.0,76.82530298551582,2.0,76.82530298551582,2.0,76.82530298551582
csebert_finetune_small_gen_vocab_sum/checkpoint-1500_small,1.0,76.30100402960876,1.0,76.30100402960876,1.0,76.30100402960876
csebert_finetune_small_gen_vocab_sum/checkpoint-1500_small25,1.0,73.20157857120661,2.0,73.42452369320958,5.0,74.43046582794967
csebert_finetune_small_gen_vocab_sum/checkpoint-1500_small50,1.0,74.58510242969076,1.0,74.58510242969076,7.0,74.89106066634965
csebert_finetune_small_gen_vocab_sum/checkpoint-1500_small75,2.0,75.8802747012822,2.0,75.8802747012822,3.0,76.18869617224881
csebert_finetune_small_gen_vocab_sum/checkpoint-500_small,1.0,73.90764787508886,7.0,73.87523990835048,2.0,76.65833035607956
csebert_finetune_small_gen_vocab_sum/checkpoint-500_small25,2.0,72.0702234382125,2.0,72.0702234382125,2.0,72.0702234382125
csebert_finetune_small_gen_vocab_sum/checkpoint-500_small50,1.0,72.5645614204793,3.0,71.87637969094924,5.0,73.0628624831643
csebert_finetune_small_gen_vocab_sum/checkpoint-500_small75,1.0,73.90764787508886,1.0,73.90764787508886,10.0,75.45103929330601
csebert_finetune_small_gen_vocab_sum_small,1.0,74.64596949891067,6.0,74.22585947609555,2.0,77.51691611267137
csebert_finetune_small_gen_vocab_sum_small25,2.0,74.53028314749301,2.0,74.53028314749301,6.0,75.46419849830092
